(US$ in millions),"For the year ended June 30, 2022.Investment services","For the year ended June 30, 2022.Treasury services","For the year ended June 30, 2022.Upstream and Advisory services","For the year ended June 30, 2022.Total"
"Income from loans and guarantees, including realized gains and losses on loans associated derivatives","$ 1,156",$ -,$ -,"$ 1,156"
"Provision for losses on loans, off-balance sheet credit exposures and other receivables",(126),-,-,(126)
Income from equity investments and associated derivatives,208,-,-,208
"Income from debt securities, including realized gains and losses on debt securities and associated derivatives",414,-,-,414
Provision for losses on available-for-sale debt securities,(14),-,-,(14)
Loss from liquid asset trading activities,-,(413),-,(413)
Charges on borrowings,(194),(108),-,(302)
Upstream and Advisory services income,-,-,233,233
Service fees and other income,186,-,-,186
Administrative expenses a,"(1,187)",(50),(204),"(1,441)"
Upstream and Advisory services expenses,-,-,(287),(287)
"Other, net",55,4,16,75
Foreign currency transaction gains on non-trading activities,76,-,-,76
Income (loss) before net unrealized gains and losses on non- trading financial instruments accounted for at fair value,574,(567),(242),(235)
Net unrealized losses non-trading financial instruments accounted for at fair value,(123),(106),-,(229)
Net income (loss),$ 451,$ (673),$ (242),$ (464)
