(US$ in millions),"For the year ended June 30, 2023.Loans Disbursed.Individual reserve","For the year ended June 30, 2023.Loans Disbursed.Portfolio reserve","For the year ended June 30, 2023.Loans Disbursed.Total reserve","For the year ended June 30, 2023.Loans Committed but not Disbursed.Individual reserve","For the year ended June 30, 2023.Loans Committed but not Disbursed.Portfolio reserve","For the year ended June 30, 2023.Loans Committed but not Disbursed.Total reserve"
Beginning balance,$ 461,$ 748,"$ 1,209",$ 1,$ 171,$ 172
(Release of provision) provision for losses,(76),91,15,-,(3),(3)
Write-offs,(37),-,(37),-,-,-
Recoveries of previously written-off loans,18,-,18,-,-,-
Foreign currency transaction adjustments,(1),6,5,-,1,1
Other adjustments a,1,(2),(1),-,-,-
Ending balance,$ 366,$ 843,"$ 1,209",$ 1,$ 169,$ 170
"Total disbursed loans at Jun 30, 2023","$ 1,212","$ 30,032","$ 31,244",,,
"Loans committed but not disbursed at June 30, 2023",,,,$ 46,"$ 6,796","$ 6,842"
"Unamortized deferred loan origination fees, net and other",,,$ (127),,,
Loans at amortized cost,,,"$ 31,117",,,
