(US$ in millions),"June 30, 2024.Very Strong","June 30, 2024.Strong","June 30, 2024.Adequate","June 30, 2024.Moderate","June 30, 2024.Weak","June 30, 2024.Very Weak/ Special Attention","June 30, 2024.Very Weak/ Substandard","June 30, 2024.Extremely Weak/ Doubtful","June 30, 2024.Imminent Default/ Default","June 30, 2024.Total"
Geographic Region,,,,,,,,,,
Africa,$ -,$ 7,$ 638,"$ 2,470","$ 3,564",$ 534,$ 181,$ 219,$ 161,"$ 7,774"
Asia and Pacific,69,520,"4,229","2,844","2,163",62,-,3,43,"9,933"
"Latin America and the Caribbean, and Europe",-,55,"5,031","4,757","1,318",264,85,207,180,"11,897"
"Middle East, Central Asia, Türkiye, Pakistan, and Afghanistan",-,19,225,"2,113","1,538",257,39,5,201,"4,397"
Other,66,492,345,971,-,-,-,-,-,"1,874"
Total geographic region,$ 135,"$1,093","$ 10,468","$ 13,155","$ 8,583","$ 1,117",$ 305,$ 434,$ 585,"$35,875"
"Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other","Unamortized deferred loan origination fees, net and other",(146)
Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,Loans at amortized cost,"$35,729"
