(US$ in millions),"For the year ended June 30, 2024.Loans Disbursed.Individual reserve","For the year ended June 30, 2024.Loans Disbursed.Portfolio reserve","For the year ended June 30, 2024.Loans Disbursed.Total reserve","For the year ended June 30, 2024.Loans Committed but not Disbursed.Individual reserve","For the year ended June 30, 2024.Loans Committed but not Disbursed.Portfolio reserve","For the year ended June 30, 2024.Loans Committed but not Disbursed.Total reserve"
Beginning balance,$ 366,$ 843,"$ 1,209",$ 1,$ 169,$ 170
Provision (release of provision) for losses,5,(26),(21),(1),20,19
Write-offs,(95),-,(95),-,-,-
Recoveries of previously written-off loans,4,-,4,-,-,-
Foreign currency transaction adjustments,(1),(10),(11),-,(1),(1)
Other adjustments a,1,(6),(5),-,-,-
Ending balance,$ 280,$ 801,"$ 1,081",$ -,$ 188,$ 188
"Total disbursed loans at June 30, 2024","$ 1,106","$ 34,769","$ 35,875",,,
"Loans committed but not disbursed at June 30, 2024",,,,$ 49,"$ 8,678","$ 8,727"
"Unamortized deferred loan origination fees, net and other",,,(146),,,
Loans at amortized cost,,,"$ 35,729",,,
