(US$ in millions),"For the year ended June 30, 2024.Interest Rate Reduction, Term Extension and Payment Delay","For the year ended June 30, 2024.Payment Delay","For the year ended June 30, 2024.Total Loan Modification a"
Africa,,,
"Manufacturing, agribusiness and services",$ 3,$ -,$ 3
Total Africa,3,- -,3
"Latin America and the Caribbean, and Europe",,,
"Manufacturing, agribusiness and services",-,24,24
"Total Latin America and the Caribbean, and Europe",-,- 24,24
"Middle East, Central Asia, Türkiye, Pakistan, and Afghanistan",,,
Infrastructure and natural resources,-,25,25
"Total Middle East, Central Asia, Türkiye, Pakistan, and Afghanistan",-,- 25,25
Total,$ 3,$ 49,$ 52
