(US$ in millions),"For the year ended June 30, 2024.Investment services","For the year ended June 30, 2024.Treasury services","For the year ended June 30, 2024.Upstream and Advisory services","For the year ended June 30, 2024.Total"
"Income from loans and guarantees, including realized gains and losses on loans and associated derivatives","$ 3,204",$ -,$ -,"$ 3,204"
"Provision for losses on loans, off-balance sheet credit exposures and other receivables",(9),-,-,(9)
Income from equity investments and associated derivatives,142,-,-,142
"Income from debt securities, including realized gains and losses on debt securities and associated derivatives",811,-,-,811
Provision for losses on available-for-sale debt securities,(12),-,-,(12)
Income from liquid asset trading activities,-,"2,391",-,"2,391"
Charges on borrowings,"(2,284)","(1,531)",-,"(3,815)"
Upstream and Advisory services income,-,-,268,268
Service fees and other income,319,-,-,319
Administrative expenses,"(1,329)",(48),(139),"(1,516)"
Upstream and Advisory services expenses,-,-,(339),(339)
"Other, net",17,2,9,28
Foreign currency transaction losses on non-trading activities,(115),-,-,(115)
Income (loss) before net unrealized gains and losses on non- trading financial instruments accounted for at fair value,744,814,(201),"1,357"
Net unrealized gains (losses) on non-trading financial instruments accounted for at fair value,182,(54),-,128
Net income (loss),$ 926,$ 760,$ (201),"$ 1,485"
