(US$ in millions),"June 30, 2024","June 30, 2023"
Loans,,
Loans at amortized cost,"$ 35,729","$ 31,117"
Less: Reserve against losses on loans,"(1,081)","(1,209)"
Loans at amortized cost less reserve against losses,"34,648","29,908"
"Loans accounted for at fair value under the Fair Value Option (amortized cost $1,851 as of June 30, 2024, $1,642 as of June 30,","1,789","1,506"
Total loans,"36,437","31,414"
Equity investments,,
"Equity investments accounted for at fair value a b (cost $10,887 as of June 30, 2024, $10,331 as of June 30, 2023)","11,121","10,778"
Total equity investments,"11,121","10,778"
Debt securities,,
"Debt securities accounted for at fair value as available-for-sale (amortized cost $962 as of June 30, 2024, $1,632 as of June 30, 2023)",845,"1,394"
Less: Reserve against losses on available-for sale debt securities,(34),(21)
"Debt securities, available-for-sale less reserve against losses",811,"1,373"
"Debt securities accounted for at fair value under the Fair Value Option (amortized cost $10,380 as of June 30, 2024, $8,145 as of June 30, 2023)","10,378","7,937"
Total debt securities,"11,189","9,310"
Total carrying value of investments,"$ 58,747","$ 51,502"
