(US$ in millions),Valuation technique,Fair value,Significant inputs,Range (%),Weighted average (%)
Debt securities - preferred shares,Discounted cash flows,15,Discount rate,10.6 - 16.0,12.0
,Market comparables,44,Valuation multiples a,,
,Recent transactions,121,,,
,Other techniques,28,,,
Total preferred shares,,208,,,
Other loans and debt securities,Discounted cash flows,"5,886",Credit default swap spreads,0.4 - 20.2,3.3
,,,Expected recovery rates,0.0 - 75.0,44.7
,Recent transactions,"1,825",,,
,Other techniques,411,,,
Total other loans and debt securities,,"8,122",,,
Total,,"8,330",,,
