(US$ in millions),"June 30, 2024","June 30, 2023"
Assets,,
Cash and due from banks - Note C ..................................................................................................................,$ 781,"$ 1,051"
Time deposits - Note C .......................................................................................................................................,"9,752","10,215"
Trading securities - Notes C and R ..................................................................................................................,"28,555","31,020"
"(includes $4,420 and $6,446 securities pledged to creditors under repurchase and collateral agreements as of June 30, 2024 and June 30, 2023, respectively) ........................................................",,
"Securities purchased under resale agreements and receivable for cash collateral pledged - Notes C, R and W ........................................................................................................................................................","1,226","5,192"
"Investments - Notes B, D, E, F, G, R and T",,
Loans,,
"(includes $1,789 and $1,506 loans held at fair value as of June 30, 2024 and June 30, 2023, respectively; net of reserve against losses of $1,081 and $1,209 at June 30, 2024 and June 30, 2023, respectively) ...............................................................................................................................",,
"- Notes D, E, R and T .....................................................................................................................................","36,437","31,414"
Equity investments,,
"- Notes B, D, G, R and T ................................................................................................................................","11,121","10,778"
"Debt securities - Notes D, F, R and T ..........................................................................................................","11,189","9,310"
"(includes available-for-sale securities of $845 and $1,394, with associated amortized cost of $962 and $1,632, and reserve against credit losses of $34 and $21 as of June 30, 2024 and June 30, 2023, respectively) .....................................................................................................................",,
Total investments .................................................................................................................................................,"58,747","51,502"
"Derivative assets - Notes B, C, Q, R and W ...................................................................................................","2,954","5,722"
"Receivables and other assets - Notes B, C, J, T and U ..............................................................................","6,172","5,845"
Total assets,"$ 108,187","$ 110,547"
Liabilities and capital,,
Liabilities,,
Securities sold under repurchase agreements and payable for cash collateral received - Notes C and W .................................................................................................................................................................,"$ 1,541","$ 6,631"
"Borrowings outstanding - Notes B, K and R",,
From market and other sources at amortized cost .....................................................................................,"2,536","3,327"
From market sources at fair value .................................................................................................................,"53,049","48,873"
From International Development Association at fair value ........................................................................,170,243
Total borrowings ...................................................................................................................................................,"55,755","52,443"
"Derivative liabilities - Notes B, C, Q, R and W ...............................................................................................","7,356","11,195"
"Payables and other liabilities - Notes B, C, E, L, T, U and V ........................................................................","6,063","5,240"
Total liabilities ........................................................................................................................................................,"70,715","75,509"
Capital,,
"Authorized capital, shares of $1,000 par value each - Note M ............................................................... (25,079,991 shares as of June 30, 2024 and June 30, 2023) ..................................................................",,
Subscribed capital ............................................................................................................................................,"24,104","23,939"
Less: unpaid portion of subscriptions ...........................................................................................................,(884),"(1,343)"
Paid-in capital .......................................................................................................................................................,"23,220","22,596"
Accumulated other comprehensive income - Note O ....................................................................................,957,632
Retained earnings - Note O ...............................................................................................................................,"13,295","11,810"
Total capital ...........................................................................................................................................................,"37,472","35,038"
Total liabilities and capital,"$ 108,187","$ 110,547"
