(US$ in millions),"June 30, 2023.SRP.Level 1","June 30, 2023.SRP.Level 2","June 30, 2023.SRP.Total","June 30, 2023.RSBP.Level 1","June 30, 2023.RSBP.Level 2","June 30, 2023.RSBP.Total"
Debt securities,,,,,,
Discount notes and time deposits,$ 1,$ 5,$ 6,$ 1,$ 2,$ 3
Securities purchased under resale agreements,6,-,6,3,-,3
Government and agency securities,502,71,573,118,19,137
Corporate and convertible bonds,-,65,65,-,14,14
Asset-backed securities,-,39,39,-,9,9
Mortgage-backed securities,-,63,63,-,13,13
Total debt securities,509,243,752,122,57,179
Equity securities,,,,,,
US common stocks,52,-,52,16,-,16
Non-US common stocks,330,-,330,60,-,60
Real estate investment trusts (REITs),28,-,28,5,-,5
Total equity securities,410,-,410,81,-,81
Other funds at NAV a,,,,,,
Commingled funds,-,-,741,-,-,131
Private equity funds,-,-,"1,440",-,-,275
Private credit,-,-,432,-,-,80
Hedge funds,-,-,618,-,-,112
"Real asset funds (including real estate,infrastructure and timber)",-,-,700,-,-,146
Total other funds,-,-,"3,931",-,-,744
Derivative assets/ liabilities,(2),(1),(3),-,-,-
"Other assets/ liabilities b , net",-,-,75,-,-,7
Total Assets,$ 917,$ 242,"$ 5,165",$ 203,$ 57,"$ 1,011"
